2022-07-27 09:13:54,190 DEBUG   MainThread:120279 [config_util.py:dict_from_config_file():102] no default config file found in config-defaults.yaml
2022-07-27 09:14:45,366 DEBUG   HandlerThread:120279 [handler.py:handle_request():141] handle_request: stop_status
2022-07-27 09:14:45,367 DEBUG   SenderThread:120279 [sender.py:send_request():249] send_request: stop_status
2022-07-27 09:14:53,859 INFO    Thread-10 :120279 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220727_091353-bjvg6h7j/files/output.log
2022-07-27 09:14:56,205 DEBUG   SenderThread:120279 [sender.py:send():235] send: stats
2022-07-27 09:15:00,492 DEBUG   HandlerThread:120279 [handler.py:handle_request():141] handle_request: stop_status
2022-07-27 09:15:00,492 DEBUG   SenderThread:120279 [sender.py:send_request():249] send_request: stop_status
2022-07-27 09:15:07,863 INFO    Thread-10 :120279 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220727_091353-bjvg6h7j/files/output.log
2022-07-27 09:15:15,617 DEBUG   HandlerThread:120279 [handler.py:handle_request():141] handle_request: stop_status
2022-07-27 09:15:15,617 DEBUG   SenderThread:120279 [sender.py:send_request():249] send_request: stop_status
2022-07-27 09:15:21,867 INFO    Thread-10 :120279 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220727_091353-bjvg6h7j/files/output.log
2022-07-27 09:15:27,818 DEBUG   SenderThread:120279 [sender.py:send():235] send: stats
2022-07-27 09:15:30,790 DEBUG   HandlerThread:120279 [handler.py:handle_request():141] handle_request: stop_status
2022-07-27 09:15:30,790 DEBUG   SenderThread:120279 [sender.py:send_request():249] send_request: stop_status
2022-07-27 09:15:35,872 INFO    Thread-10 :120279 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220727_091353-bjvg6h7j/files/output.log
2022-07-27 09:15:45,916 DEBUG   HandlerThread:120279 [handler.py:handle_request():141] handle_request: stop_status
2022-07-27 09:15:45,916 DEBUG   SenderThread:120279 [sender.py:send_request():249] send_request: stop_status
2022-07-27 09:15:49,877 INFO    Thread-10 :120279 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220727_091353-bjvg6h7j/files/output.log
2022-07-27 09:15:59,341 DEBUG   SenderThread:120279 [sender.py:send():235] send: stats
2022-07-27 09:16:01,038 DEBUG   HandlerThread:120279 [handler.py:handle_request():141] handle_request: stop_status
2022-07-27 09:16:01,039 DEBUG   SenderThread:120279 [sender.py:send_request():249] send_request: stop_status
2022-07-27 09:16:03,882 INFO    Thread-10 :120279 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220727_091353-bjvg6h7j/files/output.log
2022-07-27 09:16:15,890 INFO    Thread-10 :120279 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220727_091353-bjvg6h7j/files/output.log
2022-07-27 09:16:16,207 DEBUG   HandlerThread:120279 [handler.py:handle_request():141] handle_request: stop_status
2022-07-27 09:16:16,208 DEBUG   SenderThread:120279 [sender.py:send_request():249] send_request: stop_status
2022-07-27 09:16:17,891 INFO    Thread-10 :120279 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220727_091353-bjvg6h7j/files/output.log
2022-07-27 09:16:29,895 INFO    Thread-10 :120279 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220727_091353-bjvg6h7j/files/output.log
2022-07-27 09:16:30,875 DEBUG   SenderThread:120279 [sender.py:send():235] send: stats
2022-07-27 09:16:31,371 DEBUG   HandlerThread:120279 [handler.py:handle_request():141] handle_request: stop_status
2022-07-27 09:16:31,371 DEBUG   SenderThread:120279 [sender.py:send_request():249] send_request: stop_status
2022-07-27 09:16:43,899 INFO    Thread-10 :120279 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220727_091353-bjvg6h7j/files/output.log
2022-07-27 09:16:46,503 DEBUG   HandlerThread:120279 [handler.py:handle_request():141] handle_request: stop_status
2022-07-27 09:16:46,503 DEBUG   SenderThread:120279 [sender.py:send_request():249] send_request: stop_status
2022-07-27 09:16:57,904 INFO    Thread-10 :120279 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220727_091353-bjvg6h7j/files/output.log
2022-07-27 09:17:01,643 DEBUG   HandlerThread:120279 [handler.py:handle_request():141] handle_request: stop_status
2022-07-27 09:17:01,644 DEBUG   SenderThread:120279 [sender.py:send_request():249] send_request: stop_status
2022-07-27 09:17:02,466 DEBUG   SenderThread:120279 [sender.py:send():235] send: stats
2022-07-27 09:17:11,909 INFO    Thread-10 :120279 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220727_091353-bjvg6h7j/files/output.log
2022-07-27 09:17:16,770 DEBUG   HandlerThread:120279 [handler.py:handle_request():141] handle_request: stop_status
2022-07-27 09:17:16,770 DEBUG   SenderThread:120279 [sender.py:send_request():249] send_request: stop_status
2022-07-27 09:17:25,914 INFO    Thread-10 :120279 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220727_091353-bjvg6h7j/files/output.log
2022-07-27 09:17:32,022 DEBUG   HandlerThread:120279 [handler.py:handle_request():141] handle_request: stop_status
2022-07-27 09:17:32,022 DEBUG   SenderThread:120279 [sender.py:send_request():249] send_request: stop_status
2022-07-27 09:17:34,073 DEBUG   SenderThread:120279 [sender.py:send():235] send: stats
2022-07-27 09:17:39,918 INFO    Thread-10 :120279 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220727_091353-bjvg6h7j/files/output.log
2022-07-27 09:17:47,144 DEBUG   HandlerThread:120279 [handler.py:handle_request():141] handle_request: stop_status
2022-07-27 09:17:47,144 DEBUG   SenderThread:120279 [sender.py:send_request():249] send_request: stop_status
2022-07-27 09:17:53,923 INFO    Thread-10 :120279 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220727_091353-bjvg6h7j/files/output.log
2022-07-27 09:18:02,269 DEBUG   HandlerThread:120279 [handler.py:handle_request():141] handle_request: stop_status
2022-07-27 09:18:02,269 DEBUG   SenderThread:120279 [sender.py:send_request():249] send_request: stop_status
2022-07-27 09:18:05,620 DEBUG   SenderThread:120279 [sender.py:send():235] send: stats
2022-07-27 09:18:07,928 INFO    Thread-10 :120279 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220727_091353-bjvg6h7j/files/output.log
2022-07-27 09:18:17,383 DEBUG   HandlerThread:120279 [handler.py:handle_request():141] handle_request: stop_status
2022-07-27 09:18:17,383 DEBUG   SenderThread:120279 [sender.py:send_request():249] send_request: stop_status
2022-07-27 09:18:21,933 INFO    Thread-10 :120279 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220727_091353-bjvg6h7j/files/output.log
2022-07-27 09:18:32,515 DEBUG   HandlerThread:120279 [handler.py:handle_request():141] handle_request: stop_status
2022-07-27 09:18:32,515 DEBUG   SenderThread:120279 [sender.py:send_request():249] send_request: stop_status
2022-07-27 09:18:35,937 INFO    Thread-10 :120279 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220727_091353-bjvg6h7j/files/output.log
2022-07-27 09:18:37,084 DEBUG   SenderThread:120279 [sender.py:send():235] send: stats
2022-07-27 09:18:47,651 DEBUG   HandlerThread:120279 [handler.py:handle_request():141] handle_request: stop_status
2022-07-27 09:18:47,651 DEBUG   SenderThread:120279 [sender.py:send_request():249] send_request: stop_status
2022-07-27 09:18:47,941 INFO    Thread-10 :120279 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220727_091353-bjvg6h7j/files/output.log
2022-07-27 09:19:01,946 INFO    Thread-10 :120279 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220727_091353-bjvg6h7j/files/output.log
2022-07-27 09:19:02,810 DEBUG   HandlerThread:120279 [handler.py:handle_request():141] handle_request: stop_status
2022-07-27 09:19:02,810 DEBUG   SenderThread:120279 [sender.py:send_request():249] send_request: stop_status
2022-07-27 09:19:08,706 DEBUG   SenderThread:120279 [sender.py:send():235] send: stats
2022-07-27 09:19:15,950 INFO    Thread-10 :120279 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220727_091353-bjvg6h7j/files/output.log
2022-07-27 09:19:17,941 DEBUG   HandlerThread:120279 [handler.py:handle_request():141] handle_request: stop_status
2022-07-27 09:19:17,941 DEBUG   SenderThread:120279 [sender.py:send_request():249] send_request: stop_status
2022-07-27 09:19:29,956 INFO    Thread-10 :120279 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220727_091353-bjvg6h7j/files/output.log
2022-07-27 09:19:33,232 DEBUG   HandlerThread:120279 [handler.py:handle_request():141] handle_request: stop_status
2022-07-27 09:19:33,232 DEBUG   SenderThread:120279 [sender.py:send_request():249] send_request: stop_status
2022-07-27 09:19:40,260 DEBUG   SenderThread:120279 [sender.py:send():235] send: stats
2022-07-27 09:19:43,960 INFO    Thread-10 :120279 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220727_091353-bjvg6h7j/files/output.log
2022-07-27 09:19:48,365 DEBUG   HandlerThread:120279 [handler.py:handle_request():141] handle_request: stop_status
2022-07-27 09:19:48,365 DEBUG   SenderThread:120279 [sender.py:send_request():249] send_request: stop_status
2022-07-27 09:19:57,965 INFO    Thread-10 :120279 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220727_091353-bjvg6h7j/files/output.log
2022-07-27 09:20:03,489 DEBUG   HandlerThread:120279 [handler.py:handle_request():141] handle_request: stop_status
2022-07-27 09:20:03,489 DEBUG   SenderThread:120279 [sender.py:send_request():249] send_request: stop_status
2022-07-27 09:20:11,749 DEBUG   SenderThread:120279 [sender.py:send():235] send: stats
2022-07-27 09:20:11,969 INFO    Thread-10 :120279 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220727_091353-bjvg6h7j/files/output.log
2022-07-27 09:20:18,612 DEBUG   HandlerThread:120279 [handler.py:handle_request():141] handle_request: stop_status
2022-07-27 09:20:18,613 DEBUG   SenderThread:120279 [sender.py:send_request():249] send_request: stop_status
2022-07-27 09:20:25,974 INFO    Thread-10 :120279 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220727_091353-bjvg6h7j/files/output.log
2022-07-27 09:20:33,746 DEBUG   HandlerThread:120279 [handler.py:handle_request():141] handle_request: stop_status
2022-07-27 09:20:33,746 DEBUG   SenderThread:120279 [sender.py:send_request():249] send_request: stop_status
2022-07-27 09:20:39,978 INFO    Thread-10 :120279 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220727_091353-bjvg6h7j/files/output.log
2022-07-27 09:20:43,302 DEBUG   SenderThread:120279 [sender.py:send():235] send: stats
2022-07-27 09:20:48,862 DEBUG   HandlerThread:120279 [handler.py:handle_request():141] handle_request: stop_status
2022-07-27 09:20:48,862 DEBUG   SenderThread:120279 [sender.py:send_request():249] send_request: stop_status
2022-07-27 09:20:53,988 INFO    Thread-10 :120279 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220727_091353-bjvg6h7j/files/output.log
2022-07-27 09:21:03,994 DEBUG   HandlerThread:120279 [handler.py:handle_request():141] handle_request: stop_status
2022-07-27 09:21:03,994 DEBUG   SenderThread:120279 [sender.py:send_request():249] send_request: stop_status
2022-07-27 09:21:05,991 INFO    Thread-10 :120279 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220727_091353-bjvg6h7j/files/output.log
2022-07-27 09:21:14,814 DEBUG   SenderThread:120279 [sender.py:send():235] send: stats
2022-07-27 09:21:19,119 DEBUG   HandlerThread:120279 [handler.py:handle_request():141] handle_request: stop_status
2022-07-27 09:21:19,119 DEBUG   SenderThread:120279 [sender.py:send_request():249] send_request: stop_status
2022-07-27 09:21:19,996 INFO    Thread-10 :120279 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220727_091353-bjvg6h7j/files/output.log
2022-07-27 09:21:34,001 INFO    Thread-10 :120279 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220727_091353-bjvg6h7j/files/output.log
2022-07-27 09:21:34,240 DEBUG   HandlerThread:120279 [handler.py:handle_request():141] handle_request: stop_status
2022-07-27 09:21:34,240 DEBUG   SenderThread:120279 [sender.py:send_request():249] send_request: stop_status
2022-07-27 09:21:46,386 DEBUG   SenderThread:120279 [sender.py:send():235] send: stats
2022-07-27 09:21:48,005 INFO    Thread-10 :120279 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220727_091353-bjvg6h7j/files/output.log
2022-07-27 09:21:49,358 DEBUG   HandlerThread:120279 [handler.py:handle_request():141] handle_request: stop_status
2022-07-27 09:21:49,359 DEBUG   SenderThread:120279 [sender.py:send_request():249] send_request: stop_status
2022-07-27 09:22:02,010 INFO    Thread-10 :120279 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220727_091353-bjvg6h7j/files/output.log
2022-07-27 09:22:04,479 DEBUG   HandlerThread:120279 [handler.py:handle_request():141] handle_request: stop_status
2022-07-27 09:22:04,479 DEBUG   SenderThread:120279 [sender.py:send_request():249] send_request: stop_status
2022-07-27 09:22:16,022 INFO    Thread-10 :120279 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220727_091353-bjvg6h7j/files/output.log
2022-07-27 09:22:18,034 DEBUG   SenderThread:120279 [sender.py:send():235] send: stats
2022-07-27 09:22:19,617 DEBUG   HandlerThread:120279 [handler.py:handle_request():141] handle_request: stop_status
2022-07-27 09:22:19,617 DEBUG   SenderThread:120279 [sender.py:send_request():249] send_request: stop_status
2022-07-27 09:22:22,024 INFO    Thread-10 :120279 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220727_091353-bjvg6h7j/files/output.log
2022-07-27 09:22:32,763 DEBUG   HandlerThread:120279 [handler.py:handle_request():141] handle_request: partial_history
2022-07-27 09:22:32,764 DEBUG   SenderThread:120279 [sender.py:send():235] send: files
2022-07-27 09:22:32,764 INFO    SenderThread:120279 [sender.py:_save_file():947] saving file media/images/viz_78_87b7e982ae13bd621aa0.png with policy now
2022-07-27 09:22:33,263 INFO    Thread-10 :120279 [dir_watcher.py:_on_file_created():217] file/dir created: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220727_091353-bjvg6h7j/files/media/images/viz_78_87b7e982ae13bd621aa0.png
2022-07-27 09:22:33,263 INFO    Thread-10 :120279 [dir_watcher.py:_on_file_created():217] file/dir created: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220727_091353-bjvg6h7j/files/media
2022-07-27 09:22:33,263 INFO    Thread-10 :120279 [dir_watcher.py:_on_file_created():217] file/dir created: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220727_091353-bjvg6h7j/files/media/images
