2022-07-19 17:14:22,649 DEBUG   HandlerThread:118514 [handler.py:handle_request():141] handle_request: stop_status
2022-07-19 17:14:22,650 DEBUG   SenderThread:118514 [sender.py:send_request():249] send_request: stop_status
2022-07-19 17:14:37,774 DEBUG   HandlerThread:118514 [handler.py:handle_request():141] handle_request: stop_status
2022-07-19 17:14:37,774 DEBUG   SenderThread:118514 [sender.py:send_request():249] send_request: stop_status
2022-07-19 17:14:40,297 DEBUG   SenderThread:118514 [sender.py:send():235] send: stats
2022-07-19 17:14:52,929 DEBUG   HandlerThread:118514 [handler.py:handle_request():141] handle_request: stop_status
2022-07-19 17:14:52,929 DEBUG   SenderThread:118514 [sender.py:send_request():249] send_request: stop_status
2022-07-19 17:15:09,709 DEBUG   HandlerThread:118514 [handler.py:handle_request():141] handle_request: stop_status
2022-07-19 17:15:09,709 DEBUG   SenderThread:118514 [sender.py:send_request():249] send_request: stop_status
2022-07-19 17:15:11,403 DEBUG   SenderThread:118514 [sender.py:send():235] send: stats
2022-07-19 17:15:24,830 DEBUG   HandlerThread:118514 [handler.py:handle_request():141] handle_request: stop_status
2022-07-19 17:15:24,830 DEBUG   SenderThread:118514 [sender.py:send_request():249] send_request: stop_status
2022-07-19 17:15:31,225 INFO    MainThread:118514 [wandb_run.py:_atexit_cleanup():1865] got exitcode: 1
2022-07-19 17:15:31,227 INFO    MainThread:118514 [wandb_run.py:_restore():1837] restore
2022-07-19 17:15:31,228 DEBUG   SenderThread:118514 [sender.py:send():235] send: telemetry
2022-07-19 17:15:31,976 DEBUG   SenderThread:118514 [sender.py:send():235] send: exit
2022-07-19 17:15:31,977 DEBUG   HandlerThread:118514 [handler.py:handle_request():141] handle_request: poll_exit
2022-07-19 17:15:31,977 INFO    SenderThread:118514 [sender.py:send_exit():371] handling exit code: 1
2022-07-19 17:15:31,977 INFO    SenderThread:118514 [sender.py:send_exit():373] handling runtime: 175
2022-07-19 17:15:31,979 INFO    SenderThread:118514 [sender.py:_save_file():947] saving file wandb-summary.json with policy end
2022-07-19 17:15:31,979 INFO    SenderThread:118514 [sender.py:send_exit():379] send defer
2022-07-19 17:15:31,980 DEBUG   SenderThread:118514 [sender.py:send_request():249] send_request: poll_exit
2022-07-19 17:15:31,980 DEBUG   HandlerThread:118514 [handler.py:handle_request():141] handle_request: defer
2022-07-19 17:15:31,980 INFO    HandlerThread:118514 [handler.py:handle_request_defer():164] handle defer: 0
2022-07-19 17:15:31,980 DEBUG   SenderThread:118514 [sender.py:send_request():249] send_request: defer
2022-07-19 17:15:31,981 INFO    MainThread:118514 [wandb_run.py:_on_finish():1995] got exit ret: file_counts {
  wandb_count: 1
}
pusher_stats {
  uploaded_bytes: 796
  total_bytes: 796
}

2022-07-19 17:15:31,981 INFO    SenderThread:118514 [sender.py:send_request_defer():388] handle sender defer: 0
2022-07-19 17:15:31,981 INFO    SenderThread:118514 [sender.py:transition_state():392] send defer: 1
2022-07-19 17:15:31,981 DEBUG   HandlerThread:118514 [handler.py:handle_request():141] handle_request: defer
2022-07-19 17:15:31,981 INFO    HandlerThread:118514 [handler.py:handle_request_defer():164] handle defer: 1
2022-07-19 17:15:32,115 DEBUG   HandlerThread:118514 [handler.py:handle_request():141] handle_request: poll_exit
2022-07-19 17:15:32,115 DEBUG   SenderThread:118514 [sender.py:send_request():249] send_request: defer
2022-07-19 17:15:32,115 INFO    SenderThread:118514 [sender.py:send_request_defer():388] handle sender defer: 1
2022-07-19 17:15:32,115 INFO    SenderThread:118514 [sender.py:transition_state():392] send defer: 2
2022-07-19 17:15:32,115 DEBUG   SenderThread:118514 [sender.py:send_request():249] send_request: poll_exit
2022-07-19 17:15:32,116 DEBUG   SenderThread:118514 [sender.py:send():235] send: stats
2022-07-19 17:15:32,116 DEBUG   HandlerThread:118514 [handler.py:handle_request():141] handle_request: defer
2022-07-19 17:15:32,116 INFO    HandlerThread:118514 [handler.py:handle_request_defer():164] handle defer: 2
2022-07-19 17:15:32,116 INFO    MainThread:118514 [wandb_run.py:_on_finish():1995] got exit ret: file_counts {
  wandb_count: 1
}
pusher_stats {
  uploaded_bytes: 796
  total_bytes: 796
}

2022-07-19 17:15:32,117 DEBUG   SenderThread:118514 [sender.py:send_request():249] send_request: defer
