2022-07-25 02:04:56,537 INFO    SenderThread:30132 [dir_watcher.py:__init__():169] watching files in: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220725_020454-bjvg6h7j/files
2022-07-25 02:04:56,537 INFO    SenderThread:30132 [sender.py:_start_run_threads():812] run started: bjvg6h7j with start time 1658695011
2022-07-25 02:04:56,538 DEBUG   SenderThread:30132 [sender.py:send():235] send: summary
2022-07-25 02:04:56,538 INFO    SenderThread:30132 [sender.py:_save_file():947] saving file wandb-summary.json with policy end
2022-07-25 02:04:56,538 DEBUG   SenderThread:30132 [sender.py:send_request():249] send_request: check_version
2022-07-25 02:04:56,565 INFO    MainThread:30132 [wandb_run.py:_on_init():1926] got version response upgrade_message: "wandb version 0.12.21 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2022-07-25 02:04:56,565 INFO    MainThread:30132 [wandb_init.py:init():660] starting run threads in backend
2022-07-25 02:04:56,566 DEBUG   HandlerThread:30132 [handler.py:handle_request():141] handle_request: run_start
2022-07-25 02:04:56,836 INFO    MainThread:30132 [wandb_run.py:_console_start():1896] atexit reg
2022-07-25 02:04:56,837 DEBUG   HandlerThread:30132 [handler.py:handle_request():141] handle_request: stop_status
2022-07-25 02:04:56,837 DEBUG   SenderThread:30132 [sender.py:send_request():249] send_request: stop_status
2022-07-25 02:04:56,839 INFO    MainThread:30132 [wandb_run.py:_redirect():1769] redirect: SettingsConsole.WRAP
2022-07-25 02:04:56,840 INFO    MainThread:30132 [wandb_run.py:_redirect():1806] Wrapping output streams.
2022-07-25 02:04:56,840 INFO    MainThread:30132 [wandb_run.py:_redirect():1830] Redirects installed.
2022-07-25 02:04:56,840 INFO    MainThread:30132 [wandb_init.py:init():685] run started, returning control to user process
2022-07-25 02:04:56,959 DEBUG   SenderThread:30132 [sender.py:send():235] send: telemetry
2022-07-25 02:04:57,539 INFO    Thread-10 :30132 [dir_watcher.py:_on_file_created():217] file/dir created: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220725_020454-bjvg6h7j/files/wandb-summary.json
2022-07-25 02:04:57,539 INFO    Thread-10 :30132 [dir_watcher.py:_on_file_created():217] file/dir created: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220725_020454-bjvg6h7j/files/output.log
2022-07-25 02:04:59,538 INFO    Thread-10 :30132 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220725_020454-bjvg6h7j/files/output.log
2022-07-25 02:05:05,543 INFO    Thread-10 :30132 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220725_020454-bjvg6h7j/files/output.log
2022-07-25 02:05:11,960 DEBUG   HandlerThread:30132 [handler.py:handle_request():141] handle_request: stop_status
2022-07-25 02:05:11,960 DEBUG   SenderThread:30132 [sender.py:send_request():249] send_request: stop_status
2022-07-25 02:05:15,546 INFO    Thread-10 :30132 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220725_020454-bjvg6h7j/files/output.log
2022-07-25 02:05:19,548 INFO    Thread-10 :30132 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220725_020454-bjvg6h7j/files/output.log
2022-07-25 02:05:25,551 INFO    Thread-10 :30132 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220725_020454-bjvg6h7j/files/output.log
2022-07-25 02:05:27,080 DEBUG   HandlerThread:30132 [handler.py:handle_request():141] handle_request: stop_status
2022-07-25 02:05:27,377 DEBUG   SenderThread:30132 [sender.py:send():235] send: stats
2022-07-25 02:05:27,378 DEBUG   SenderThread:30132 [sender.py:send_request():249] send_request: stop_status
2022-07-25 02:05:27,551 INFO    Thread-10 :30132 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220725_020454-bjvg6h7j/files/config.yaml
2022-07-25 02:05:42,510 DEBUG   HandlerThread:30132 [handler.py:handle_request():141] handle_request: stop_status
2022-07-25 02:05:42,511 DEBUG   SenderThread:30132 [sender.py:send_request():249] send_request: stop_status
2022-07-25 02:05:53,559 INFO    Thread-10 :30132 [dir_watcher.py:_on_file_modified():230] file/dir modified: /global/u1/c/cjacobus/Nyx-TSIT/wandb/run-20220725_020454-bjvg6h7j/files/output.log
2022-07-25 02:05:57,881 DEBUG   HandlerThread:30132 [handler.py:handle_request():141] handle_request: stop_status
2022-07-25 02:05:57,881 DEBUG   SenderThread:30132 [sender.py:send_request():249] send_request: stop_status
2022-07-25 02:05:58,367 DEBUG   SenderThread:30132 [sender.py:send():235] send: stats
